class_code,class_name,actual_pixels,predicted_pixels,correct_pixels,producer_accuracy,user_accuracy,f1_score
1,Cropland,10773557,11046290,10653093,0.988819,0.964405,0.976459
2,Forest,444789,394428,370241,0.832397,0.938678,0.882349
3,Shrub,83,0,0,0.000000,0.000000,0.000000
4,Grassland,105036,98976,47083,0.448256,0.475701,0.461571
5,Water,256340,194294,175711,0.685461,0.904356,0.779839
6,Snow/Ice,0,0,0,0.000000,0.000000,0.000000
7,Barren,6412,3223,1864,0.290705,0.578343,0.386923
8,Impervious,2713512,2562518,2466932,0.909129,0.962698,0.935147
9,Wetland,0,0,0,0.000000,0.000000,0.000000
