year,class_code,class_name,pixel_count,area_km2
2000,1,Cropland,11853866,10668.4794
2000,2,Forest,413691,372.3219
2000,4,Grassland,87436,78.6924
2000,5,Water,200694,180.6246
2000,7,Barren,9159,8.2431
2000,8,Impervious,1734873,1561.3857
2000,9,Wetland,10,0.009
2005,1,Cropland,11754406,10578.9654
2005,2,Forest,386364,347.7276
2005,4,Grassland,75506,67.9554
2005,5,Water,198593,178.7337
2005,7,Barren,6730,6.057
2005,8,Impervious,1878127,1690.3143
2005,9,Wetland,3,0.0027
2010,1,Cropland,11580208,10422.1872
2010,2,Forest,340241,306.2169
2010,4,Grassland,55791,50.2119
2010,5,Water,233395,210.0555
2010,7,Barren,4235,3.8115
2010,8,Impervious,2085859,1877.2731
2015,1,Cropland,11243571,10119.2139
2015,2,Forest,367599,330.8391
2015,4,Grassland,41687,37.5183
2015,5,Water,273112,245.8008
2015,7,Barren,3446,3.1014
2015,8,Impervious,2370314,2133.2826
2020,1,Cropland,11143886,10029.4974
2020,2,Forest,381120,343.008
2020,4,Grassland,75244,67.7196
2020,5,Water,229381,206.4429
2020,7,Barren,3279,2.9511
2020,8,Impervious,2466819,2220.1371
2025,1,Cropland,10773557,9696.2013
2025,2,Forest,444789,400.3101
2025,3,Shrub,83,0.0747
2025,4,Grassland,105036,94.5324
2025,5,Water,256340,230.706
2025,7,Barren,6412,5.7708
2025,8,Impervious,2713512,2442.1608
