class_code,class_name,base_pixels,markov_projected_pixels,predicted_raster_pixels,actual_pixels,markov_projected_area_km2,actual_area_km2,area_difference_km2
1,Cropland,11754406,11648759,11648759,11580208,10483.883100,10422.187200,61.695900
2,Forest,386364,361703,361703,340241,325.532700,306.216900,19.315800
3,Shrub,0,0,0,0,0.000000,0.000000,0.000000
4,Grassland,75506,67985,67985,55791,61.186500,50.211900,10.974600
5,Water,198593,197799,197799,233395,178.019100,210.055500,-32.036400
6,Snow/Ice,0,0,0,0,0.000000,0.000000,0.000000
7,Barren,6730,5129,5129,4235,4.616100,3.811500,0.804600
8,Impervious,1878127,2018353,2018353,2085859,1816.517700,1877.273100,-60.755400
9,Wetland,3,1,1,0,0.000900,0.000000,0.000900
